rank,title,total ratings,installs,average rating,growth (30 days),category,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,paid,Name,EU_Sales,Publisher,Genre,Year,Platform
314,Bingo Showdown Free Bingo Games – Bingo Live Game,598584,5.0 M,4,0.2,GAME BOARD,481850,54404,28767,10827,22734,FALSE,Sports Champions,1.14,Sony Computer Entertainment,Sports,2010,PS3
315,Ludo Star 2,597656,10.0 M,4,2.8,GAME BOARD,416103,46952,33058,18737,82805,FALSE,NBA 2K16,0.65,Take-Two Interactive,Sports,2015,PS4
316,Çanak Okey Plus,575124,10.0 M,4,0.4,GAME BOARD,445724,24956,15105,8122,81214,FALSE,World Soccer Winning Eleven 8 International,1.89,Konami Digital Entertainment,Sports,2004,PS2
317,Okey,567662,10.0 M,4,0.2,GAME BOARD,460779,36966,21660,10130,38125,FALSE,Flash Focus: Vision Training in Minutes a Day,1.57,Nintendo,Misc,2007,DS
318,Checkers,554532,100.0 M,4,1.4,GAME BOARD,371827,69515,37892,18726,56569,FALSE,Namco Museum Vol.1,1.44,Sony Computer Entertainment,Misc,1995,PS
319,1LINE – One Line with One Touch,482155,50.0 M,4,0.8,GAME BOARD,350353,50622,27688,14084,39405,FALSE,The Legend of Zelda: Link's Awakening,0.96,Nintendo,Action,1992,GB
320,BINGO!,470850,10.0 M,4,0.3,GAME BOARD,396719,31773,15341,6226,20788,FALSE,Mario & Luigi: Bowser's Inside Story,0.48,Nintendo,Role-Playing,2009,DS
321,LANDLORD TYCOON Business Management Investing Game,467655,5.0 M,4,0.4,GAME BOARD,339411,65520,18573,8821,35327,FALSE,Big Brain Academy: Wii Degree,1.93,Nintendo,Misc,2007,Wii
322,Backgammon Plus,466525,5.0 M,3,2212.2,GAME BOARD,271493,22728,15722,8505,148075,FALSE,Nintendogs + cats,1.37,Nintendo,Simulation,2011,3DS
323,Bingo Bash featuring MONOPOLY: Live Bingo Games,447613,10.0 M,4,0.0,GAME BOARD,344284,45999,23309,12179,21840,FALSE,Batman: Arkham Knight,1.58,Warner Bros. Interactive Entertainment,Action,2015,PS4
324,Real Chess,404907,10.0 M,4,0.5,GAME BOARD,257543,65328,27088,11958,42987,FALSE,Mario & Sonic at the London 2012 Olympic Games,1.91,Sega,Sports,2011,Wii
325,Chess Free,402345,50.0 M,4,0.0,GAME BOARD,281427,84152,18717,4956,13091,FALSE,LEGO Indiana Jones: The Original Adventures,01.03,Activision,Action,2008,X360
326,Mahjong Epic,391135,5.0 M,4,0.1,GAME BOARD,277978,88322,18138,2358,4337,FALSE,Resident Evil Director's Cut,1.24,Virgin Interactive,Action,1996,PS
327,Tic Tac Toe,356365,50.0 M,4,0.1,GAME BOARD,243769,40684,24296,11208,36405,FALSE,Ratchet & Clank: Size Matters,1.4,Sony Computer Entertainment,Platform,2007,PSP
328,Dominos Online Jogatina: Dominoes Game Free,353244,10.0 M,4,0.8,GAME BOARD,232140,57146,27330,9795,26830,FALSE,Just Dance 2014,1.47,Ubisoft,Misc,2013,Wii
329,Backgammon Free,351361,10.0 M,4,0.2,GAME BOARD,232675,65416,21279,8961,23027,FALSE,The Sims: Unleashed,1.56,Electronic Arts,Simulation,2002,PC
330,Mahjong City Tours: Free Mahjong Classic Game,335347,5.0 M,4,2.6,GAME BOARD,288443,26221,7586,3620,9475,FALSE,Super Paper Mario,0.88,Nintendo,Platform,2007,Wii
331,Bingo Party - Free Classic Bingo Games Online,313765,5.0 M,4,0.7,GAME BOARD,247479,34766,16068,5498,9951,FALSE,Harry Potter and the Sorcerer's Stone,2,Electronic Arts,Action,2001,PS
332,Rento - Dice Board Game Online,312477,10.0 M,4,0.4,GAME BOARD,181755,52704,24745,11079,42191,FALSE,The Witcher 3: Wild Hunt,2,Namco Bandai Games,Role-Playing,2015,PS4
333,Snakes & Ladders King,303060,50.0 M,3,0.1,GAME BOARD,189271,25883,21636,13961,52307,FALSE,Resident Evil 3: Nemesis,0.77,Eidos Interactive,Action,1999,PS
